conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/25206eaa-04da-4fd6-bac7-173d7eb142dc,8121.1,operator maszyn odlewniczych,0.0
Occupation,http://data.europa.eu/esco/occupation/a0f9903e-2ba5-4b9d-bb0a-a8646db15221,8121.2,operator wytłaczarki,0.0
Occupation,http://data.europa.eu/esco/occupation/57b89801-0e43-4b19-bf29-ef9a51d65155,8121.3,operator wyżarzarki,0.0571428571428571
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121.4,operator ciągarki,0.0
Occupation,http://data.europa.eu/esco/occupation/6dbca2aa-f83b-4567-a4e7-b9a21fb948bf,8121.5,operator walcarki,0.0
Occupation,http://data.europa.eu/esco/occupation/c2d5daae-8f8a-45b1-8e76-3284b84ce195,8121.6,operator maszyn do produkcji sprężyn,0.024390243902439
Occupation,http://data.europa.eu/esco/occupation/7664f3e6-b469-4e1a-b52c-8a7ac866eb5a,8121.7,operator maszyn do produkcji siatek metalowych,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C8121,8121,Operatorzy maszyn i urządzeń do obróbki metali,0.011647585863613728
Occupation,http://data.europa.eu/esco/occupation/3c0af499-39f6-4468-9ba4-b13a26d5f888,8122.1,operator piaszczarki,0.024390243902439
Occupation,http://data.europa.eu/esco/occupation/e9f0b7ae-c848-464e-af9d-55eb87a592e0,8122.2,operator maszyn do anodowania,0.0232558139534883
Occupation,http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a,8122.3,operator maszyn do powlekania metalu,0.0196078431372549
Occupation,http://data.europa.eu/esco/occupation/4b6b09e6-e1f6-46d8-b16a-d3522c367983,8122.4,operator szlifierki cylindrycznej,0.0192307692307692
Occupation,http://data.europa.eu/esco/occupation/862ed9e5-96ec-410d-a0fd-5206a05a7954,8122.5,operator maszyn do usuwania zadziorów,0.0196078431372549
Occupation,http://data.europa.eu/esco/occupation/ce5b1eb1-5862-4f00-a813-0f90aecd5ef5,8122.6,operator urządzeń do zanurzeniowego nakładania powłok,0.0208333333333333
